0.000002,0.000003
0.000025,0.000020
0.000160,0.000124
0.000479,0.000390
0.001184,0.001006
0.002143,0.002069
0.004171,0.003202
0.004808,0.004473
0.006910,0.006518
0.010240,0.009249
0.012874,0.012964
0.016539,0.016254
0.020681,0.020832
0.026030,0.025624
0.034643,0.033670
0.041571,0.041297
0.049183,0.048094
0.058180,0.056639
0.066908,0.066354
0.079330,0.081947
0.091833,0.090540
0.107152,0.105279
0.123087,0.121128
0.141365,0.143140
0.155138,0.155752
0.173447,0.177110
0.196241,0.201404
0.222026,0.224736
0.244201,0.247002
0.271910,0.273094
0.299825,0.302320
0.331384,0.332448
0.373718,0.368181
0.399119,0.399160
0.439440,0.442444
0.487037,0.475175
0.531350,0.516257
0.566504,0.564425
0.620537,0.611556
0.676602,0.664976
0.716196,0.712664
0.774655,0.766716
0.836505,0.825907
0.915696,0.889586
0.955814,0.946285
1.036531,1.031695
1.115288,1.089732
1.165837,1.157067
1.238198,1.233032
1.327343,1.298030
1.410550,1.380059
