0.000011,0.000011
0.000079,0.000099
0.000103,0.000123
0.000307,0.000330
0.000732,0.000771
0.001316,0.001517
0.002337,0.002517
0.003529,0.004031
0.005149,0.005668
0.007338,0.008750
0.009141,0.010788
0.012994,0.014389
0.017447,0.020367
0.022400,0.023738
0.026560,0.030369
0.032660,0.036284
0.039575,0.043792
0.045677,0.052365
0.054316,0.063080
0.064208,0.077528
0.073045,0.084857
0.083485,0.098789
0.097530,0.115625
0.110034,0.130863
0.126028,0.147339
0.146760,0.165643
0.159742,0.187633
0.181385,0.210304
0.199260,0.233037
0.218688,0.261269
0.239766,0.290945
0.266264,0.316513
0.291910,0.348453
0.318161,0.381661
0.351214,0.417008
0.379180,0.465648
0.415124,0.498104
0.451415,0.538973
0.489996,0.587809
0.529006,0.633443
0.562574,0.682779
0.614162,0.739260
0.656171,0.788201
0.703063,0.852333
0.751000,0.907147
0.805174,0.974653
0.856361,1.033646
0.911787,1.107494
0.982604,1.177496
1.042951,1.253820
1.102992,1.334919
